"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval"
2018,0,0.00344,0.00343,0.14,100000,343,99706,8177417,81.77,FALSE
2018,1,0.00019,0.00019,0.5,99657,19,99648,8077711,81.05,FALSE
2018,2,0.00013,0.00013,0.5,99638,13,99632,7978063,80.07,FALSE
2018,3,0.00011,0.00011,0.5,99625,11,99620,7878431,79.08,FALSE
2018,4,0.00011,0.00011,0.5,99614,11,99609,7778811,78.09,FALSE
2018,5,0.00008,0.00008,0.5,99604,8,99600,7679202,77.1,FALSE
2018,6,0.0001,0.0001,0.5,99596,10,99591,7579603,76.1,FALSE
2018,7,0.00007,0.00007,0.5,99585,7,99582,7480012,75.11,FALSE
2018,8,0.00005,0.00005,0.5,99578,5,99576,7380430,74.12,FALSE
2018,9,0.00006,0.00006,0.5,99574,6,99570,7280854,73.12,FALSE
2018,10,0.00004,0.00004,0.5,99567,4,99565,7181284,72.12,FALSE
2018,11,0.00006,0.00006,0.5,99564,6,99560,7081718,71.13,FALSE
2018,12,0.00007,0.00007,0.5,99557,7,99554,6982158,70.13,FALSE
2018,13,0.00007,0.00007,0.5,99550,7,99547,6882604,69.14,FALSE
2018,14,0.00012,0.00012,0.5,99543,12,99537,6783058,68.14,FALSE
2018,15,0.00014,0.00014,0.5,99531,14,99524,6683521,67.15,FALSE
2018,16,0.00017,0.00017,0.5,99517,17,99509,6583996,66.16,FALSE
2018,17,0.00025,0.00025,0.5,99500,25,99488,6484487,65.17,FALSE
2018,18,0.00016,0.00016,0.5,99475,16,99467,6385000,64.19,FALSE
2018,19,0.00028,0.00028,0.5,99459,28,99446,6285532,63.2,FALSE
2018,20,0.00028,0.00028,0.5,99432,28,99418,6186087,62.21,FALSE
2018,21,0.00026,0.00026,0.5,99404,26,99391,6086669,61.23,FALSE
2018,22,0.00029,0.00029,0.5,99379,29,99364,5987277,60.25,FALSE
2018,23,0.00025,0.00025,0.5,99350,25,99337,5887913,59.26,FALSE
2018,24,0.00028,0.00028,0.5,99325,27,99311,5788576,58.28,FALSE
2018,25,0.00033,0.00033,0.5,99298,33,99281,5689264,57.3,FALSE
2018,26,0.00032,0.00032,0.5,99265,32,99249,5589983,56.31,FALSE
2018,27,0.00031,0.00031,0.5,99233,31,99217,5490735,55.33,FALSE
2018,28,0.00035,0.00035,0.5,99201,35,99184,5391518,54.35,FALSE
2018,29,0.0004,0.0004,0.5,99167,40,99147,5292333,53.37,FALSE
2018,30,0.00043,0.00043,0.5,99127,43,99106,5193186,52.39,FALSE
2018,31,0.00043,0.00043,0.5,99084,43,99063,5094081,51.41,FALSE
2018,32,0.00045,0.00045,0.5,99042,44,99020,4995018,50.43,FALSE
2018,33,0.00043,0.00043,0.5,98998,43,98976,4895998,49.46,FALSE
2018,34,0.00042,0.00042,0.5,98955,42,98934,4797022,48.48,FALSE
2018,35,0.00053,0.00053,0.5,98913,52,98887,4698088,47.5,FALSE
2018,36,0.00054,0.00054,0.5,98861,53,98834,4599201,46.52,FALSE
2018,37,0.00065,0.00065,0.5,98808,64,98776,4500367,45.55,FALSE
2018,38,0.00061,0.00061,0.5,98744,60,98713,4401591,44.58,FALSE
2018,39,0.0007,0.0007,0.5,98683,69,98649,4302878,43.6,FALSE
2018,40,0.00068,0.00068,0.5,98614,67,98581,4204229,42.63,FALSE
2018,41,0.00084,0.00084,0.5,98547,82,98506,4105648,41.66,FALSE
