"";"Age";"QoL_no_tx";"QoL_tx";"Surv_no_tx";"Surv_tx";"Time_noeff_QoL";"Time_noeff_Surv";"Tx_eff"
"n";"43";"43";"43";"43";"43";"6";"23";"22"
"Evidence_type (%)";"";"";"";"";"";"";"";" "
"   Before-after study";" 0 ( 0.0) ";" 0 (  0.0) ";" 0 (  0.0) ";" 0 ( 0.0) ";" 0 ( 0.0) ";"0 ( 0.0) ";" 0 ( 0.0) ";" 1 ( 4.5) "
"   Expert opinion";" 2 ( 4.7) ";" 0 (  0.0) ";" 0 (  0.0) ";" 8 (18.6) ";" 2 ( 4.7) ";"5 (83.3) ";" 4 (17.4) ";" 4 (18.2) "
"   Expert panel";" 0 ( 0.0) ";"29 ( 67.4) ";"29 ( 67.4) ";" 0 ( 0.0) ";" 0 ( 0.0) ";"0 ( 0.0) ";" 0 ( 0.0) ";" 0 ( 0.0) "
"   Expert panel (WHO)";" 0 ( 0.0) ";"14 ( 32.6) ";"14 ( 32.6) ";" 0 ( 0.0) ";" 0 ( 0.0) ";"0 ( 0.0) ";" 0 ( 0.0) ";" 0 ( 0.0) "
"   National registry";"21 (48.8) ";" 0 (  0.0) ";" 0 (  0.0) ";"12 (27.9) ";"31 (72.1) ";"0 ( 0.0) ";" 9 (39.1) ";" 6 (27.3) "
"   Observational, prospective";" 5 (11.6) ";" 0 (  0.0) ";" 0 (  0.0) ";" 4 ( 9.3) ";" 3 ( 7.0) ";"0 ( 0.0) ";" 3 (13.0) ";" 1 ( 4.5) "
"   Observational, retrospective";"10 (23.3) ";" 0 (  0.0) ";" 0 (  0.0) ";" 9 (20.9) ";" 4 ( 9.3) ";"0 ( 0.0) ";" 7 (30.4) ";" 3 (13.6) "
"   RCT";" 5 (11.6) ";" 0 (  0.0) ";" 0 (  0.0) ";"10 (23.3) ";" 3 ( 7.0) ";"1 (16.7) ";" 0 ( 0.0) ";" 7 (31.8) "
"Evidence_class (%)";"";"";"";"";"";"";"";" "
"   I";" 5 (11.6) ";" 0 (  0.0) ";" 0 (  0.0) ";"10 (23.3) ";" 3 ( 7.0) ";"1 (16.7) ";" 0 ( 0.0) ";" 7 (31.8) "
"   IIa";" 5 (11.6) ";" 0 (  0.0) ";" 0 (  0.0) ";" 4 ( 9.3) ";" 3 ( 7.0) ";"0 ( 0.0) ";" 3 (13.0) ";" 2 ( 9.1) "
"   IIb";"31 (72.1) ";"43 (100.0) ";"43 (100.0) ";"21 (48.8) ";"35 (81.4) ";"0 ( 0.0) ";"16 (69.6) ";" 9 (40.9) "
"   III";" 2 ( 4.7) ";" 0 (  0.0) ";" 0 (  0.0) ";" 8 (18.6) ";" 2 ( 4.7) ";"5 (83.3) ";" 4 (17.4) ";" 4 (18.2) "
