"";"Label";"count";"dur_or";"los_icu";"los_nonicu"
"61";"PAD F3-4, bypass";43;"218 (163 - 269)";"0 (0 - 0)";"3.9 (2.9 - 5.1)"
"72";"Renal ca, total nefrectomy";105;"228 (145 - 258)";"0 (0 - 0)";"1 (0.6 - 1.15)"
"3";"AAA, surgical repair";138;"246 (166 - 305)";"0 (0 - 0.6)";"3.8 (2.2 - 7.1)"
"57";"Pacemaker implantation";273;"115 (82 - 154)";"0 (0 - 0)";"1.4 (1.1 - 2.1)"
"51";"MVR, thoracotomy";713;"99 (77 - 125)";"0 (0 - 0)";"3.1 (1.4 - 6.1)"
"10";"AV-stenosis, AVR, thoracotomy";713;"99 (77 - 125)";"0 (0 - 0)";"3.1 (1.4 - 6.1)"
"25";"ESRD, transplant";346;"291 (244 - 341)";"0 (0 - 0)";"11 (7.5 - 12.3)"
"54";"NSCLC, lobectomy";133;"245 (213 - 294)";"0 (0 - 0)";"5.1 (3.9 - 8)"
"36";"Liver metastasis colonca, resection";355;"230 (155 - 336)";"0 (0 - 0)";"6.2 (4.3 - 9.1)"
"21";"ESLD, transplant";81;"875 (797 - 957)";"0.9 (0 - 2.3)";"9.5 (2 - 18.7)"
"70";"Renal ca, partial nefrectomy";105;"228 (145 - 258)";"0 (0 - 0)";"1 (0.6 - 1.15)"
"48";"Mild larynx ca., resection";103;"70 (38 - 109)";"0 (0 - 0)";"0.9 (0.2 - 1.3)"
"7";"AV-insuff AVR, thoracotomy";713;"99 (77 - 125)";"0 (0 - 0)";"3.1 (1.4 - 6.1)"
"1";"AAA, EVAR";138;"246 (166 - 305)";"0 (0 - 0.6)";"3.8 (2.2 - 7.1)"
"5";"ASD, repair";164;"74 (56 - 132)";"0 (0 - 0)";"1.3 (0.6 - 1.95)"
"64";"Pancreasca., Whipple";413;"268 (103 - 443)";"0 (0 - 0)";"7.15 (1 - 13.9)"
"66";"Penis ca., resection";29;"92 (44 - 147)";"0 (0 - 0)";"1.75 (0.4 - 2.8)"
"34";"Instable AP, CABG";336;"279 (244 - 314)";"0.6 (0.3 - 0.9)";"4.8 (3.8 - 6.3)"
"27";"HCC, resection";355;"230 (155 - 336)";"0 (0 - 0)";"6.2 (4.3 - 9.1)"
"14";"Colonca., HIPEC";283;"271 (75 - 405)";"0 (0 - 0)";"8.2 (0.4 - 12.1)"
"55";"Oral ca., resection";103;"70 (38 - 109)";"0 (0 - 0)";"0.9 (0.2 - 1.3)"
"31";"High-risk endometrium ca, resection";83;"244 (183 - 331)";"0 (0 - 0)";"5.2 (2.8 - 6.9)"
"74";"UUT Ca., nefroureterectomy";148;"229 (188 - 268)";"0 (0 - 0)";"3.8 (2.6 - 6)"
"44";"Mammaca., resection";383;"99 (71 - 148)";"0 (0 - 0)";"1.2 (0.4 - 2.1)"
"45";"MI bladder ca, cystectomy";426;"72 (57 - 143)";"0 (0 - 0)";"1.7 (1.2 - 4.15)"
"17";"Empyema, VATS";55;"174 (120 - 219)";"0 (0 - 0)";"4.1 (3.1 - 6.2)"
"30";"High-grade glioma, resection";329;"228 (182 - 274)";"0 (0 - 0)";"4.1 (3.1 - 5.2)"
"11";"Cervical ca., resection";144;"253 (68 - 384)";"0 (0 - 0)";"3 (0.45 - 5.1)"
"37";"Low-grade glioma, resection";329;"228 (182 - 274)";"0 (0 - 0)";"4.1 (3.1 - 5.2)"
"40";"Low-risk endometrium ca, resection";83;"244 (183 - 331)";"0 (0 - 0)";"5.2 (2.8 - 6.9)"
"60";"PAD F2, bypass";43;"218 (163 - 269)";"0 (0 - 0)";"3.9 (2.9 - 5.1)"
"41";"Mammaca., mastectomy";383;"99 (71 - 148)";"0 (0 - 0)";"1.2 (0.4 - 2.1)"
"15";"COPD, bullectomy";55;"174 (120 - 219)";"0 (0 - 0)";"4.1 (3.1 - 6.2)"
"68";"Pleurodesis for pneumothorax";55;"174 (120 - 219)";"0 (0 - 0)";"4.1 (3.1 - 6.2)"
"49";"Mild salivary gland ca., resection";100;"108 (79 - 175)";"0 (0 - 0)";"1.2 (1 - 3.1)"
"23";"ESRD, shunt";190;"72 (56 - 100)";"0 (0 - 0)";"1.1 (0.3 - 1.7)"
"19";"Endometriosis, resection";154;"179 (122 - 238)";"0 (0 - 0)";"1.9 (1.2 - 2.7)"
